Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20080,Lower,MWF,9:00 a.m.-10:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20085,Lower,MWF,9:00 a.m.-10:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20090,Lower,MWF,9:00 a.m.-10:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20095,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20100,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20105,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20110,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20115,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20120,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20125,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20127,Lower,MWF,10:00 a.m.-11:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,"301 ENGINEERING, ENERGY, THE ENVIR",20128,Lower,MWF,9:00 a.m.-10:00 a.m.,CPE 2.204,"OLSON, JON E",,,
PGE,311 NUMERICAL METHODS/PROGRAM-GBR,20129,Lower,,,,"DICARLO, DAVID",,,
PGE,311 NUMERICAL METHODS/PROGRAMMING,20130,Lower,TTH,11:00 a.m.-12:30 p.m.,CPE 3.144A,"RAVIKUMAR, ARVIND P",,,
PGE,323L RESERVOIR ENGINEERING II,20135,Upper,MWF,1:00 p.m.-2:00 p.m.,CPE 2.204,"BALHOFF, MATTHEW THOMAS",,,
PGE,326 THERMODYNAMIC/PHASE BEHAVIOR,20140,Upper,TTH,9:30 a.m.-11:00 a.m.,CPE 2.202,"DICARLO, DAVID",,,
PGE,427 PROPERTIES OF PETROLEUM FLUIDS,20145,Upper,MWF,12:00 p.m.-1:00 p.m.,JGB 2.216,"OKUNO, RYOSUKE",,,
PGE,427 PROPERTIES OF PETROLEUM FLUIDS,20150,Upper,MWF,12:00 p.m.-1:00 p.m.,JGB 2.216,"OKUNO, RYOSUKE",,,
PGE,427 PROPERTIES OF PETROLEUM FLUIDS,20155,Upper,MWF,12:00 p.m.-1:00 p.m.,JGB 2.216,"OKUNO, RYOSUKE",,,
